step,A_vs_gt_clean,A_vs_gt_rt,B1_vs_gt_clean,B1_vs_gt_rt,A_vs_B1
0.000000000000000000e+00,1.023722067475318909e-02,9.598399512469768524e-03,1.551141738891601562e-01,1.577748954296112061e-01,1.565879285335540771e-01
1.000000000000000000e+00,1.123687624931335449e-02,1.090246625244617462e-02,1.467156857252120972e-01,1.496395319700241089e-01,1.492885649204254150e-01
2.000000000000000000e+00,1.210172381252050400e-02,1.169870886951684952e-02,1.384140849113464355e-01,1.407868713140487671e-01,1.406632959842681885e-01
3.000000000000000000e+00,1.142951287329196930e-02,1.078432798385620117e-02,1.290626674890518188e-01,1.305028647184371948e-01,1.292592734098434448e-01
4.000000000000000000e+00,1.059964485466480255e-02,9.853209368884563446e-03,1.197419390082359314e-01,1.210505366325378418e-01,1.199642196297645569e-01
5.000000000000000000e+00,9.804193861782550812e-03,9.088509716093540192e-03,1.095377206802368164e-01,1.111860349774360657e-01,1.108138933777809143e-01
6.000000000000000000e+00,8.887123316526412964e-03,8.189607411623001099e-03,9.959203749895095825e-02,1.011677905917167664e-01,9.969270974397659302e-02
7.000000000000000000e+00,8.436835370957851410e-03,7.883273996412754059e-03,8.994939178228378296e-02,9.105829149484634399e-02,9.053266048431396484e-02
8.000000000000000000e+00,9.177816100418567657e-03,8.760260418057441711e-03,8.233678340911865234e-02,8.330674469470977783e-02,8.361402899026870728e-02
9.000000000000000000e+00,7.047932595014572144e-03,6.545103155076503754e-03,7.553716748952865601e-02,7.627298682928085327e-02,7.624219357967376709e-02
1.000000000000000000e+01,8.921545930206775665e-03,8.203470148146152496e-03,7.076702266931533813e-02,7.109367102384567261e-02,7.200329005718231201e-02
1.100000000000000000e+01,1.021768338978290558e-02,9.273641742765903473e-03,6.630468368530273438e-02,6.623362004756927490e-02,6.625010073184967041e-02
1.200000000000000000e+01,8.927968330681324005e-03,8.085231296718120575e-03,6.541838496923446655e-02,6.528435647487640381e-02,6.513166427612304688e-02
1.300000000000000000e+01,1.023683603852987289e-02,9.100872091948986053e-03,6.790652126073837280e-02,6.781532615423202515e-02,6.541141867637634277e-02
1.400000000000000000e+01,1.037330925464630127e-02,9.291710332036018372e-03,7.043187320232391357e-02,7.024117559194564819e-02,6.862541288137435913e-02
1.500000000000000000e+01,1.046489272266626358e-02,9.474834427237510681e-03,7.353019714355468750e-02,7.360349595546722412e-02,7.233375310897827148e-02
1.600000000000000000e+01,9.515636600553989410e-03,8.253118954598903656e-03,7.917455583810806274e-02,7.942681759595870972e-02,7.874616980552673340e-02
1.700000000000000000e+01,1.137150824069976807e-02,1.016429252922534943e-02,8.292420208454132080e-02,8.307132124900817871e-02,8.247524499893188477e-02
1.800000000000000000e+01,1.200867630541324615e-02,1.121406815946102142e-02,8.439978212118148804e-02,8.450665324926376343e-02,8.539379388093948364e-02
1.900000000000000000e+01,9.795128367841243744e-03,9.077487513422966003e-03,8.804358541965484619e-02,8.810400962829589844e-02,8.798097074031829834e-02
2.000000000000000000e+01,1.139986608177423477e-02,1.042907405644655228e-02,9.318045526742935181e-02,9.333907812833786011e-02,9.399034827947616577e-02
2.100000000000000000e+01,9.439195506274700165e-03,8.401253260672092438e-03,9.950225800275802612e-02,9.969042986631393433e-02,9.987619519233703613e-02
2.200000000000000000e+01,1.057462301105260849e-02,9.698828682303428650e-03,1.026615053415298462e-01,1.024630069732666016e-01,1.049351468682289124e-01
2.300000000000000000e+01,9.843317791819572449e-03,8.797532878816127777e-03,1.042521521449089050e-01,1.038381010293960571e-01,1.056820154190063477e-01
2.400000000000000000e+01,1.228958833962678909e-02,1.120445132255554199e-02,1.076276972889900208e-01,1.073186174035072327e-01,1.087184473872184753e-01
2.500000000000000000e+01,1.299619302153587341e-02,1.203795708715915680e-02,1.074892729520797729e-01,1.075029447674751282e-01,1.089457720518112183e-01
2.600000000000000000e+01,1.220905967056751251e-02,1.126962620764970779e-02,1.074672266840934753e-01,1.075402945280075073e-01,1.087295785546302795e-01
2.700000000000000000e+01,1.220382191240787506e-02,1.141704712063074112e-02,1.099631860852241516e-01,1.103462353348731995e-01,1.101755648851394653e-01
2.800000000000000000e+01,1.043588388711214066e-02,9.696526452898979187e-03,1.122208088636398315e-01,1.128802299499511719e-01,1.123046651482582092e-01
2.900000000000000000e+01,1.086150202900171280e-02,1.005242485553026199e-02,1.113487109541893005e-01,1.120343133807182312e-01,1.112461611628532410e-01
3.000000000000000000e+01,1.232642959803342819e-02,1.143576484173536301e-02,1.126311942934989929e-01,1.138000562787055969e-01,1.122350543737411499e-01
3.100000000000000000e+01,1.271660625934600830e-02,1.134145539253950119e-02,1.121723428368568420e-01,1.132622882723808289e-01,1.136026903986930847e-01
