step,pred_vs_gt_clean,pred_vs_gt_detok
0.000000000000000000e+00,3.719500824809074402e-02,3.714575991034507751e-02
1.000000000000000000e+00,4.120637476444244385e-02,4.135633632540702820e-02
2.000000000000000000e+00,4.394438862800598145e-02,4.383733496069908142e-02
3.000000000000000000e+00,4.456182941794395447e-02,4.408731684088706970e-02
4.000000000000000000e+00,4.401518031954765320e-02,4.354649409651756287e-02
5.000000000000000000e+00,4.121975228190422058e-02,4.082135856151580811e-02
6.000000000000000000e+00,4.267737269401550293e-02,4.250939562916755676e-02
7.000000000000000000e+00,4.151343926787376404e-02,4.130319505929946899e-02
8.000000000000000000e+00,4.012069851160049438e-02,4.006158187985420227e-02
9.000000000000000000e+00,3.977926075458526611e-02,3.955396264791488647e-02
1.000000000000000000e+01,4.038904607295989990e-02,3.997955471277236938e-02
1.100000000000000000e+01,4.280705749988555908e-02,4.202817380428314209e-02
1.200000000000000000e+01,4.582583904266357422e-02,4.510929808020591736e-02
1.300000000000000000e+01,4.650105535984039307e-02,4.569954797625541687e-02
1.400000000000000000e+01,4.745726287364959717e-02,4.682164266705513000e-02
1.500000000000000000e+01,4.877194389700889587e-02,4.881468042731285095e-02
1.600000000000000000e+01,4.970857873558998108e-02,4.988798871636390686e-02
1.700000000000000000e+01,5.137080699205398560e-02,5.130685493350028992e-02
1.800000000000000000e+01,5.205019190907478333e-02,5.176981911063194275e-02
1.900000000000000000e+01,5.070934817194938660e-02,5.030884221196174622e-02
2.000000000000000000e+01,4.967788234353065491e-02,4.895865172147750854e-02
2.100000000000000000e+01,5.047892034053802490e-02,4.937016591429710388e-02
2.200000000000000000e+01,5.346708744764328003e-02,5.235024541616439819e-02
2.300000000000000000e+01,5.711054056882858276e-02,5.631764978170394897e-02
2.400000000000000000e+01,5.833770334720611572e-02,5.745961144566535950e-02
2.500000000000000000e+01,6.071302294731140137e-02,6.011763960123062134e-02
2.600000000000000000e+01,6.417471170425415039e-02,6.365323066711425781e-02
2.700000000000000000e+01,6.846271455287933350e-02,6.829266995191574097e-02
2.800000000000000000e+01,6.903000175952911377e-02,6.903938204050064087e-02
2.900000000000000000e+01,7.062648236751556396e-02,7.083930820226669312e-02
3.000000000000000000e+01,7.391647994518280029e-02,7.420782744884490967e-02
3.100000000000000000e+01,7.732446491718292236e-02,7.727952301502227783e-02
