chunk_position,mse
0.000000000000000000e+00,1.861720830202102661e-01
1.000000000000000000e+00,1.859947144985198975e-01
2.000000000000000000e+00,1.867549270391464233e-01
3.000000000000000000e+00,1.879933029413223267e-01
4.000000000000000000e+00,1.882166266441345215e-01
5.000000000000000000e+00,1.850269287824630737e-01
6.000000000000000000e+00,1.845978349447250366e-01
7.000000000000000000e+00,1.847687512636184692e-01
8.000000000000000000e+00,1.869576126337051392e-01
9.000000000000000000e+00,1.886156648397445679e-01
1.000000000000000000e+01,1.897503733634948730e-01
1.100000000000000000e+01,1.937989741563796997e-01
1.200000000000000000e+01,1.953371465206146240e-01
1.300000000000000000e+01,1.954627633094787598e-01
1.400000000000000000e+01,1.977092176675796509e-01
1.500000000000000000e+01,1.990735977888107300e-01
