timestep,oat_mse,enriched_mse
0.000000000000000000e+00,7.597750006116690824e-02,9.762795552809256164e-03
1.000000000000000000e+00,7.578732139579952287e-02,9.984304054063976655e-03
2.000000000000000000e+00,7.591381989359213822e-02,1.054580625477538093e-02
3.000000000000000000e+00,7.659250001157053012e-02,1.154779818728566242e-02
4.000000000000000000e+00,7.790553159907867564e-02,1.332649687197407992e-02
5.000000000000000000e+00,8.023158439786928775e-02,1.610311720798490373e-02
6.000000000000000000e+00,8.333956079265628092e-02,1.954256906750233627e-02
7.000000000000000000e+00,8.637088074826752837e-02,2.278680129099520946e-02
8.000000000000000000e+00,9.012928798441718903e-02,2.683344847252010570e-02
9.000000000000000000e+00,9.288312051923712509e-02,2.942156523778393859e-02
1.000000000000000000e+01,9.456320697874909253e-02,3.090032308345254039e-02
1.100000000000000000e+01,9.583482505869471424e-02,3.130577391063852494e-02
1.200000000000000000e+01,9.658930619129386941e-02,2.990747684100351217e-02
1.300000000000000000e+01,9.744766342490913946e-02,2.823523847754693880e-02
1.400000000000000000e+01,9.852732412278415730e-02,2.582389850075123700e-02
1.500000000000000000e+01,9.995986518801874832e-02,2.475164426295668046e-02
1.600000000000000000e+01,8.498315590319689694e-02,2.098548683294794090e-02
1.700000000000000000e+01,8.446519131481762532e-02,2.212025263278920295e-02
1.800000000000000000e+01,8.321550424532325740e-02,2.361505347762722293e-02
1.900000000000000000e+01,8.215451108595010765e-02,2.586423507824366433e-02
2.000000000000000000e+01,8.120396063073127835e-02,2.846470379742677831e-02
2.100000000000000000e+01,8.059302256257215580e-02,3.139523587721342046e-02
2.200000000000000000e+01,6.819152199329692188e-02,3.451567457503842279e-02
2.300000000000000000e+01,6.843658294664639596e-02,3.643477007247710592e-02
2.400000000000000000e+01,6.941930930937233180e-02,3.815192286505335317e-02
2.500000000000000000e+01,7.061734686013222684e-02,3.975431121966539749e-02
2.600000000000000000e+01,7.160504889660224137e-02,4.037831568067194038e-02
2.700000000000000000e+01,7.233881602275943346e-02,4.068333134505373871e-02
2.800000000000000000e+01,7.309850211722368485e-02,4.002686344831307003e-02
2.900000000000000000e+01,7.366889495877256000e-02,3.873408939832299197e-02
3.000000000000000000e+01,7.440773841773914987e-02,3.690273200873343817e-02
3.100000000000000000e+01,7.585125208688697773e-02,3.597922074127417325e-02
3.200000000000000000e+01,7.903509171976477732e-02,3.499342575708869890e-02
3.300000000000000000e+01,8.174955522975940747e-02,3.686701810996163842e-02
3.400000000000000000e+01,8.214625241344618300e-02,3.664084509162930658e-02
3.500000000000000000e+01,8.475331286208818982e-02,3.906285023185483013e-02
3.600000000000000000e+01,8.601931290352947401e-02,4.000323308080552115e-02
3.700000000000000000e+01,8.869617145700030292e-02,4.224761905827907615e-02
3.800000000000000000e+01,9.806448886552826538e-02,5.156849627053017998e-02
3.900000000000000000e+01,1.041686405192595033e-01,5.721974267946206699e-02
4.000000000000000000e+01,1.158017020439030681e-01,6.892661107583554492e-02
4.100000000000000000e+01,1.234566026436077352e-01,7.668366087270261922e-02
4.200000000000000000e+01,1.345931023036129603e-01,8.652315747208196017e-02
4.300000000000000000e+01,1.534712131759500831e-01,9.801869729946480203e-02
4.400000000000000000e+01,1.595373164356816975e-01,1.143533156619465224e-01
4.500000000000000000e+01,1.683431221988081206e-01,1.187540583362322738e-01
4.600000000000000000e+01,1.630096989731915635e-01,1.352075130468583797e-01
4.700000000000000000e+01,1.731894886941852674e-01,1.489295057921262433e-01
4.800000000000000000e+01,1.718833664716367116e-01,1.644182663147891188e-01
4.900000000000000000e+01,1.833129891505290154e-01,1.554296970589202631e-01
5.000000000000000000e+01,1.969452015494228825e-01,1.738028785187634984e-01
5.100000000000000000e+01,1.798758764783153219e-01,1.885015822289743681e-01
5.200000000000000000e+01,1.884476463056402318e-01,1.991067977276165246e-01
5.300000000000000000e+01,1.996182630065625185e-01,2.052563332125952045e-01
5.400000000000000000e+01,2.139260184466721948e-01,1.958455586297029871e-01
5.500000000000000000e+01,2.165407254364632439e-01,1.972442372704536484e-01
5.600000000000000000e+01,2.037908748429734795e-01,2.092245141498366989e-01
5.700000000000000000e+01,2.232062857830955649e-01,2.189738987107761881e-01
5.800000000000000000e+01,2.331135970151458903e-01,2.272410965005576822e-01
5.900000000000000000e+01,2.446555591207521252e-01,2.391734703706402954e-01
6.000000000000000000e+01,2.401310421824454922e-01,2.478624234486021261e-01
6.100000000000000000e+01,2.504408759613986901e-01,2.442929361804912214e-01
6.200000000000000000e+01,2.598942926987191093e-01,2.487861953513000046e-01
6.300000000000000000e+01,2.671176493602222535e-01,2.474971229202346801e-01
6.400000000000000000e+01,2.517050602999049702e-01,2.420985353875148849e-01
6.500000000000000000e+01,2.474435088940430127e-01,2.398652634943078676e-01
6.600000000000000000e+01,2.492017834803904597e-01,2.280865459482185054e-01
6.700000000000000000e+01,2.418749809438769660e-01,2.209128401034046174e-01
6.800000000000000000e+01,2.321263183068688341e-01,2.026684513105311281e-01
6.900000000000000000e+01,2.283830274934298410e-01,1.828326260492788014e-01
7.000000000000000000e+01,2.316108688064036081e-01,1.652763538299507617e-01
7.100000000000000000e+01,2.344489645110909570e-01,1.512003108407137808e-01
7.200000000000000000e+01,2.293032215260202289e-01,1.498735503211036102e-01
7.300000000000000000e+01,2.205578705408378082e-01,1.471323594634479370e-01
7.400000000000000000e+01,2.160487063335720381e-01,1.469133576601394653e-01
7.500000000000000000e+01,2.082939533476309835e-01,1.532034483399998537e-01
7.600000000000000000e+01,2.037446587290614175e-01,1.590710827629256419e-01
7.700000000000000000e+01,2.160627356460143311e-01,1.603845258190121914e-01
7.800000000000000000e+01,2.107155732969840656e-01,1.544379857181629734e-01
7.900000000000000000e+01,2.028249395232240015e-01,1.595127038003644471e-01
8.000000000000000000e+01,2.047792865671100859e-01,1.684870785816456606e-01
8.100000000000000000e+01,2.072135981812316952e-01,1.552273577037034669e-01
8.200000000000000000e+01,1.940762867684010795e-01,1.587087394784320871e-01
8.300000000000000000e+01,1.922479497232242041e-01,1.584139046897413416e-01
8.400000000000000000e+01,1.909447469219158477e-01,1.581041305420629040e-01
8.500000000000000000e+01,1.923963154637371165e-01,1.425143338814960081e-01
8.600000000000000000e+01,1.958097895274404365e-01,1.485310738494445004e-01
8.700000000000000000e+01,1.790150227298959174e-01,1.555291583553596868e-01
8.800000000000000000e+01,1.732915038394159390e-01,1.537850766092800914e-01
8.900000000000000000e+01,1.747871662972145523e-01,1.561109920633432790e-01
9.000000000000000000e+01,1.816642429089231903e-01,1.420466086281521878e-01
9.100000000000000000e+01,1.770619480035849902e-01,1.467527764624159403e-01
9.200000000000000000e+01,1.929039494722791237e-01,1.504190493308822651e-01
9.300000000000000000e+01,2.051853325347561263e-01,1.505681627974729264e-01
9.400000000000000000e+01,2.086946684807015340e-01,1.537886166232783625e-01
9.500000000000000000e+01,2.090635107575624929e-01,1.582968977673474276e-01
9.600000000000000000e+01,2.237165474789507835e-01,1.632640310915420001e-01
9.700000000000000000e+01,2.312855606765079064e-01,1.628129315514874609e-01
9.800000000000000000e+01,2.426052849467727757e-01,1.773060501887899765e-01
9.900000000000000000e+01,2.581567670023301453e-01,1.827413625140470455e-01
1.000000000000000000e+02,2.619637217707175281e-01,1.865059183880978522e-01
1.010000000000000000e+02,2.647000625761837811e-01,1.906326984377810507e-01
1.020000000000000000e+02,2.515737702540062903e-01,1.932917256903252945e-01
1.030000000000000000e+02,2.530593911761417902e-01,1.932466345466672952e-01
1.040000000000000000e+02,2.639545113482453798e-01,1.904194605326862133e-01
1.050000000000000000e+02,2.619756818745228033e-01,2.054236466678907580e-01
1.060000000000000000e+02,2.627296278901631310e-01,2.122966341763647402e-01
1.070000000000000000e+02,2.504798241865239250e-01,2.121840616104543054e-01
1.080000000000000000e+02,2.485940972953801786e-01,2.068577073937398203e-01
1.090000000000000000e+02,2.531243548355298079e-01,2.108547752429964228e-01
1.100000000000000000e+02,2.432865530958865097e-01,2.125021026817207892e-01
1.110000000000000000e+02,2.433537101573892414e-01,2.038008119803008389e-01
1.120000000000000000e+02,2.206921912466059399e-01,2.086662532172805784e-01
1.130000000000000000e+02,2.208380112248007898e-01,2.115584779412020278e-01
1.140000000000000000e+02,2.205410535940900696e-01,2.117874020752555930e-01
1.150000000000000000e+02,2.211205122046871752e-01,2.166889455184863866e-01
1.160000000000000000e+02,2.207671619490138570e-01,2.124383113031363124e-01
1.170000000000000000e+02,2.254737965657317711e-01,2.170509340493707306e-01
1.180000000000000000e+02,2.036856538813386075e-01,2.107144575152197497e-01
1.190000000000000000e+02,1.948298977554077382e-01,1.999559412038593442e-01
1.200000000000000000e+02,1.837610948027227631e-01,2.021735247729870011e-01
1.210000000000000000e+02,1.815010964202810606e-01,1.944476818319817446e-01
1.220000000000000000e+02,1.852967301213066242e-01,1.962843978703778525e-01
1.230000000000000000e+02,1.852792608703603128e-01,1.952131585111026579e-01
1.240000000000000000e+02,1.927669753006892583e-01,1.933654657355044215e-01
1.250000000000000000e+02,1.896949518263805201e-01,1.936221365773700964e-01
